"id","sentiment"
1,3
2,4
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,2
13,3
14,3
15,3
16,3
17,3
18,4
19,4
20,5
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,5
34,4
35,4
36,5
37,4
38,5
39,4
40,3
41,6
42,4
43,6
44,4
45,4
46,5
47,4
48,5
49,4
50,4
51,7
52,4
53,5
54,4
55,3
56,4
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,4
70,3
71,3
72,3
73,3
74,3
75,3
76,2
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,4
102,5
103,5
104,5
105,4
106,5
107,4
108,5
109,4
110,5
111,5
112,5
113,5
114,4
115,3
116,4
117,4
118,5
119,4
120,4
121,3
122,6
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,5
131,4
132,4
133,5
134,4
135,4
136,4
137,5
138,4
139,4
140,4
141,4
142,5
143,4
144,4
145,4
146,5
147,4
148,4
149,4
150,4
151,3
152,5
153,4
154,4
155,4
156,4
157,4
158,2
159,4
160,4
161,4
162,4
163,4
164,4
165,5
166,4
167,4
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,4
179,3
180,5
181,3
182,4
183,4
184,4
185,4
186,4
187,5
188,3
189,4
190,5
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,6
202,4
203,4
204,4
205,3
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,5
214,4
215,4
216,4
217,4
218,6
219,4
220,4
221,5
222,4
223,5
224,5
225,4
226,5
227,5
228,3
229,4
230,4
231,3
232,3
233,3
234,3
235,3
236,3
237,4
238,3
239,3
240,4
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,2
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,2
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,2
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
